event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,22,2025-03-29T13:20:00,2025,3,Gold Coast,Melbourne,120.0,62.0,win,1484.610635688887,1492.0117139371764,7.401078248289404
match,23,2025-03-29T16:15:00,2025,3,St Kilda,Richmond,135.0,53.0,win,1496.8815006381512,1500.8306671492412,3.9491665110898797
match,23,2025-03-29T16:15:00,2025,3,Richmond,St Kilda,53.0,135.0,loss,1414.6297922358435,1410.6806257247536,-3.9491665110898797
match,24,2025-03-29T19:35:00,2025,3,Brisbane Lions,Geelong,70.0,61.0,win,1580.5617938719543,1582.882008064924,2.3202141929698845
match,24,2025-03-29T19:35:00,2025,3,Geelong,Brisbane Lions,61.0,70.0,loss,1546.5010045910385,1544.1807903980687,-2.3202141929698845
match,25,2025-03-29T19:35:00,2025,3,Hawthorn,Greater Western Sydney,76.0,64.0,win,1528.6662776431883,1531.5938646112377,2.9275869680493245
match,25,2025-03-29T19:35:00,2025,3,Greater Western Sydney,Hawthorn,64.0,76.0,loss,1526.7089393762114,1523.781352408162,-2.9275869680493245
match,26,2025-03-30T15:20:00,2025,3,Adelaide,North Melbourne,114.0,78.0,win,1491.5311255056095,1494.4133167063892,2.882191200779757
match,26,2025-03-30T15:20:00,2025,3,North Melbourne,Adelaide,78.0,114.0,loss,1385.858153754269,1382.9759625534894,-2.882191200779757
match,27,2025-03-30T18:10:00,2025,3,West Coast,Fremantle,68.0,106.0,loss,1388.2444731759078,1383.8533960166228,-4.391077159284935
match,27,2025-03-30T18:10:00,2025,3,Fremantle,West Coast,106.0,68.0,win,1506.3801287843255,1510.7712059436105,4.391077159284935
match,28,2025-04-03T19:30:00,2025,4,Collingwood,Carlton,63.0,46.0,win,1529.9844650435896,1533.090819579465,3.1063545358754334
match,28,2025-04-03T19:30:00,2025,4,Carlton,Collingwood,46.0,63.0,loss,1507.0286195664257,1503.9222650305503,-3.1063545358754334
match,29,2025-04-04T19:40:00,2025,4,Geelong,Melbourne,85.0,46.0,win,1544.1807903980687,1548.0303845971907,3.849594199122019
match,29,2025-04-04T19:40:00,2025,4,Melbourne,Geelong,46.0,85.0,loss,1506.4373567120524,1502.5877625129303,-3.849594199122019
match,30,2025-04-05T13:20:00,2025,4,Gold Coast,Adelaide,91.0,90.0,win,1492.0117139371764,1492.715258438641,0.7035445014646415
match,30,2025-04-05T13:20:00,2025,4,Adelaide,Gold Coast,90.0,91.0,loss,1494.4133167063892,1493.7097722049245,-0.7035445014646415
match,31,2025-04-05T16:15:00,2025,4,Richmond,Brisbane Lions,90.0,118.0,loss,1410.6806257247536,1407.3792728862595,-3.301352838494055
match,31,2025-04-05T16:15:00,2025,4,Brisbane Lions,Richmond,118.0,90.0,win,1582.882008064924,1586.1833609034181,3.301352838494055
match,32,2025-04-05T19:35:00,2025,4,North Melbourne,Sydney,52.0,117.0,loss,1382.9759625534894,1378.8538614345123,-4.122101118977037
match,32,2025-04-05T19:35:00,2025,4,Sydney,North Melbourne,117.0,52.0,win,1559.4728638822212,1563.5949650011983,4.122101118977037
match,33,2025-04-06T13:10:00,2025,4,Greater Western Sydney,West Coast,132.0,51.0,win,1523.781352408162,1526.8737420568148,3.0923896486527465
match,33,2025-04-06T13:10:00,2025,4,West Coast,Greater Western Sydney,51.0,132.0,loss,1383.8533960166228,1380.7610063679701,-3.0923896486527465
