event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,10838.0,1990-04-14 03:10:00+00:00,1990,3,West Coast,Western Bulldogs,122.0,59.0,win,1499.744113822893,1506.8268225040038,7.082708681110617,Western Oval
match,10839.0,1990-04-15 03:10:00+00:00,1990,3,Brisbane Lions,North Melbourne,95.0,113.0,loss,1500.375874466038,1495.5436933716342,-4.832181094403857,Carrara
match,10839.0,1990-04-15 03:10:00+00:00,1990,3,North Melbourne,Brisbane Lions,113.0,95.0,win,1501.8245535834558,1506.6567346778597,4.832181094403857,Carrara
match,10840.0,1990-04-16 03:10:00+00:00,1990,3,Collingwood,Sydney,128.0,93.0,win,1501.4361727963715,1505.6119294016255,4.175756605253969,Victoria Park
match,10840.0,1990-04-16 03:10:00+00:00,1990,3,Sydney,Collingwood,93.0,128.0,loss,1495.5821043056135,1491.4063477003594,-4.175756605253969,Victoria Park
match,10841.0,1990-04-16 03:10:00+00:00,1990,3,Geelong,Fitzroy,150.0,77.0,win,1487.711044098198,1493.1129740286067,5.40192993040857,Kardinia Park
match,10841.0,1990-04-16 03:10:00+00:00,1990,3,Fitzroy,Geelong,77.0,150.0,loss,1499.2157913764286,1493.81386144602,-5.40192993040857,Kardinia Park
match,10842.0,1990-04-16 03:10:00+00:00,1990,3,Melbourne,Essendon,122.0,95.0,win,1510.8763155012816,1514.8030408445154,3.9267253432338016,M.C.G.
match,10842.0,1990-04-16 03:10:00+00:00,1990,3,Essendon,Melbourne,95.0,122.0,loss,1510.3702920513051,1506.4435667080713,-3.9267253432338016,M.C.G.
match,10843.0,1990-04-20 08:40:00+00:00,1990,4,West Coast,Carlton,120.0,70.0,win,1506.8268225040038,1511.3694888994228,4.542666395419109,W.A.C.A.
match,10843.0,1990-04-20 08:40:00+00:00,1990,4,Carlton,West Coast,70.0,120.0,loss,1496.0378763062263,1491.4952099108073,-4.542666395419109,W.A.C.A.
match,10844.0,1990-04-21 03:10:00+00:00,1990,4,Collingwood,Western Bulldogs,96.0,78.0,win,1505.6119294016255,1508.9003794958983,3.2884500942727213,Victoria Park
match,10844.0,1990-04-21 03:10:00+00:00,1990,4,Western Bulldogs,Collingwood,78.0,96.0,loss,1493.0533502594567,1489.764900165184,-3.2884500942727213,Victoria Park
match,10845.0,1990-04-21 03:10:00+00:00,1990,4,Hawthorn,Brisbane Lions,120.0,38.0,win,1506.9778681091484,1512.1223269515212,5.144458842372874,Princes Park
match,10845.0,1990-04-21 03:10:00+00:00,1990,4,Brisbane Lions,Hawthorn,38.0,120.0,loss,1495.5436933716342,1490.3992345292613,-5.144458842372874,Princes Park
match,10846.0,1990-04-21 03:10:00+00:00,1990,4,Richmond,Essendon,49.0,127.0,loss,1482.6482608141444,1475.6115138703963,-7.036746943748135,M.C.G.
match,10846.0,1990-04-21 03:10:00+00:00,1990,4,Essendon,Richmond,127.0,49.0,win,1506.4435667080713,1513.4803136518194,7.036746943748135,M.C.G.
match,10847.0,1990-04-21 03:10:00+00:00,1990,4,Fitzroy,Melbourne,64.0,89.0,loss,1493.81386144602,1488.6672329906157,-5.146628455404302,Waverley Park
match,10847.0,1990-04-21 03:10:00+00:00,1990,4,Melbourne,Fitzroy,89.0,64.0,win,1514.8030408445154,1519.9496692999196,5.146628455404302,Waverley Park
match,10848.0,1990-04-22 03:10:00+00:00,1990,4,North Melbourne,Geelong,112.0,143.0,loss,1506.6567346778597,1500.6699237782298,-5.986810899630065,M.C.G.
match,10848.0,1990-04-22 03:10:00+00:00,1990,4,Geelong,North Melbourne,143.0,112.0,win,1493.1129740286067,1499.0997849282367,5.986810899630065,M.C.G.
match,10849.0,1990-04-22 03:10:00+00:00,1990,4,Sydney,St Kilda,97.0,131.0,loss,1491.4063477003594,1485.6657121447433,-5.740635555616022,S.C.G.
match,10849.0,1990-04-22 03:10:00+00:00,1990,4,St Kilda,Sydney,131.0,97.0,win,1507.0636738283283,1512.8043093839444,5.740635555616022,S.C.G.
match,10850.0,1990-04-25 03:10:00+00:00,1990,5,Carlton,Western Bulldogs,76.0,103.0,loss,1491.4952099108073,1485.9161698945695,-5.579040016237826,Princes Park
match,10850.0,1990-04-25 03:10:00+00:00,1990,5,Western Bulldogs,Carlton,103.0,76.0,win,1489.764900165184,1495.3439401814217,5.579040016237826,Princes Park
match,10851.0,1990-04-25 03:10:00+00:00,1990,5,Richmond,Fitzroy,143.0,64.0,win,1475.6115138703963,1481.147401031349,5.535887160952888,M.C.G.
match,10851.0,1990-04-25 03:10:00+00:00,1990,5,Fitzroy,Richmond,64.0,143.0,loss,1488.6672329906157,1483.131345829663,-5.535887160952888,M.C.G.
match,10852.0,1990-04-28 03:10:00+00:00,1990,5,Essendon,Geelong,81.0,89.0,loss,1513.4803136518194,1509.855160069993,-3.625153581826541,Waverley Park
match,10852.0,1990-04-28 03:10:00+00:00,1990,5,Geelong,Essendon,89.0,81.0,win,1499.0997849282367,1502.724938510063,3.625153581826541,Waverley Park
match,10853.0,1990-04-28 03:10:00+00:00,1990,5,Hawthorn,North Melbourne,108.0,78.0,win,1512.1223269515212,1516.0317201901676,3.909393238646238,Princes Park
match,10853.0,1990-04-28 03:10:00+00:00,1990,5,North Melbourne,Hawthorn,78.0,108.0,loss,1500.6699237782298,1496.7605305395834,-3.909393238646238,Princes Park
match,10854.0,1990-04-28 03:10:00+00:00,1990,5,St Kilda,Collingwood,91.0,92.0,loss,1512.8043093839444,1511.8093503602822,-0.9949590236622096,M.C.G.
match,10854.0,1990-04-28 03:10:00+00:00,1990,5,Collingwood,St Kilda,92.0,91.0,win,1508.9003794958983,1509.8953385195605,0.9949590236622096,M.C.G.
match,10855.0,1990-04-28 08:40:00+00:00,1990,5,Brisbane Lions,Melbourne,61.0,125.0,loss,1490.3992345292613,1483.8016285700642,-6.597605959197227,Carrara
match,10855.0,1990-04-28 08:40:00+00:00,1990,5,Melbourne,Brisbane Lions,125.0,61.0,win,1519.9496692999196,1526.5472752591168,6.597605959197227,Carrara
match,10856.0,1990-04-29 03:10:00+00:00,1990,5,West Coast,Sydney,128.0,67.0,win,1511.3694888994228,1515.9132559425595,4.54376704313673,Subiaco
match,10856.0,1990-04-29 03:10:00+00:00,1990,5,Sydney,West Coast,67.0,128.0,loss,1485.6657121447433,1481.1219451016066,-4.54376704313673,Subiaco
