event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,16486.0,2020-06-14 05:35:00+00:00,2020,2,Sydney,Essendon,73.0,79.0,loss,1502.1019042652977,1499.0395330263943,-3.062371238903274,S.C.G.
match,16486.0,2020-06-14 05:35:00+00:00,2020,2,Essendon,Sydney,79.0,73.0,win,1502.1683365262104,1505.2307077651137,3.062371238903274,S.C.G.
match,16487.0,2020-06-14 08:05:00+00:00,2020,2,St Kilda,Western Bulldogs,88.0,49.0,win,1498.8485725235669,1503.1627403939544,4.314167870387492,Docklands
match,16487.0,2020-06-14 08:05:00+00:00,2020,2,Western Bulldogs,St Kilda,49.0,88.0,loss,1493.2717068283594,1488.9575389579718,-4.314167870387492,Docklands
match,16488.0,2020-06-18 09:40:00+00:00,2020,3,Richmond,Hawthorn,39.0,71.0,loss,1503.7867579644899,1497.8611621743512,-5.925595790138721,M.C.G.
match,16488.0,2020-06-18 09:40:00+00:00,2020,3,Hawthorn,Richmond,71.0,39.0,win,1498.8743101882483,1504.799905978387,5.925595790138721,M.C.G.
match,16489.0,2020-06-19 09:50:00+00:00,2020,3,Western Bulldogs,Greater Western Sydney,57.0,33.0,win,1488.9575389579718,1492.8740940929038,3.9165551349320062,Docklands
match,16489.0,2020-06-19 09:50:00+00:00,2020,3,Greater Western Sydney,Western Bulldogs,33.0,57.0,loss,1499.0796372891714,1495.1630821542394,-3.9165551349320062,Docklands
match,16490.0,2020-06-20 03:45:00+00:00,2020,3,North Melbourne,Sydney,60.0,71.0,loss,1506.2183081920762,1502.1307253109733,-4.087582881102843,Docklands
match,16490.0,2020-06-20 03:45:00+00:00,2020,3,Sydney,North Melbourne,71.0,60.0,win,1499.0395330263943,1503.1271159074972,4.087582881102843,Docklands
match,16491.0,2020-06-20 06:35:00+00:00,2020,3,Collingwood,St Kilda,81.0,37.0,win,1506.7282931716406,1511.2236462574988,4.495353085858119,M.C.G.
match,16491.0,2020-06-20 06:35:00+00:00,2020,3,St Kilda,Collingwood,37.0,81.0,loss,1503.1627403939544,1498.6673873080963,-4.495353085858119,M.C.G.
match,16492.0,2020-06-20 09:40:00+00:00,2020,3,Brisbane Lions,West Coast,74.0,44.0,win,1498.986108204624,1503.0547188166688,4.068610612044763,Gabba
match,16492.0,2020-06-20 09:40:00+00:00,2020,3,West Coast,Brisbane Lions,44.0,74.0,loss,1499.2220153462624,1495.1534047342177,-4.068610612044763,Gabba
match,16493.0,2020-06-20 09:40:00+00:00,2020,3,Geelong,Carlton,77.0,79.0,loss,1500.9580726177276,1499.309462047118,-1.6486105706097622,Kardinia Park
match,16493.0,2020-06-20 09:40:00+00:00,2020,3,Carlton,Geelong,79.0,77.0,win,1495.2271027304425,1496.8757133010522,1.6486105706097622,Kardinia Park
match,16494.0,2020-06-21 05:05:00+00:00,2020,3,Gold Coast,Adelaide,82.0,29.0,win,1498.1656617820486,1502.8672244448767,4.701562662828188,Carrara
match,16494.0,2020-06-21 05:05:00+00:00,2020,3,Adelaide,Gold Coast,29.0,82.0,loss,1492.8158449898174,1488.1142823269893,-4.701562662828188,Carrara
match,16495.0,2020-06-21 10:10:00+00:00,2020,3,Fremantle,Port Adelaide,41.0,70.0,loss,1494.8666544583753,1489.4131999225049,-5.453454535870271,Carrara
match,16495.0,2020-06-21 10:10:00+00:00,2020,3,Port Adelaide,Fremantle,70.0,41.0,win,1511.6280057615452,1517.0814602974156,5.453454535870271,Carrara
