event,date,year,round,team,opponent,standard_rating_before,standard_rating_after,standard_rating_change,margin_rating_before,margin_rating_after,margin_rating_change,margin_error,match_id,score,opponent_score,result
match,2025-03-07T19:40:00,2025,OR,Sydney,Hawthorn,1594.4736961943029,1575.0312534107677,-19.442442783535153,1540.62563428829,1529.4828963113753,-11.142737976914866,20.961869147056884,1.0,76.0,96.0,loss
match,2025-03-07T19:40:00,2025,OR,Hawthorn,Sydney,1553.2406329755293,1572.6830757590644,19.442442783535153,1604.3154769615026,1615.4582149384173,11.142737976914866,-20.961869147056884,1.0,96.0,76.0,win
match,2025-03-09T15:20:00,2025,OR,Greater Western Sydney,Collingwood,1543.0298852459935,1559.247422308701,16.21753706270762,1542.0995371429015,1560.8446303161575,18.745093173256056,-35.26352240008209,2.0,104.0,52.0,win
match,2025-03-09T15:20:00,2025,OR,Collingwood,Greater Western Sydney,1537.6340266545096,1521.416489591802,-16.21753706270762,1518.7030511720684,1499.9579579988124,-18.745093173256056,35.26352240008209,2.0,52.0,104.0,loss
match,2025-03-13T19:30:00,2025,1,Richmond,Carlton,1348.9058090349254,1365.1315980568243,16.225789021899,1360.0489890023937,1375.3996630109352,15.350674008541603,-28.877895231210353,3.0,82.0,69.0,win
match,2025-03-13T19:30:00,2025,1,Carlton,Richmond,1526.2497343948148,1510.023945372916,-16.225789021899,1516.7055293477815,1501.35485533924,-15.350674008541603,28.877895231210353,3.0,69.0,82.0,loss
match,2025-03-14T19:40:00,2025,1,Hawthorn,Essendon,1572.6830757590644,1581.4980739767846,8.814998217720097,1615.4582149384173,1607.3559391115386,-8.102275826878763,15.242110693822376,4.0,111.0,85.0,win
match,2025-03-14T19:40:00,2025,1,Essendon,Hawthorn,1467.8257214085584,1459.0107231908382,-8.814998217720097,1456.7743382457497,1464.8766140726284,8.102275826878763,-15.242110693822376,4.0,85.0,111.0,loss
match,2025-03-15T13:20:00,2025,1,Geelong,Fremantle,1560.481230134961,1576.2796096433447,15.798379508383832,1560.6557859993563,1591.7927900176062,31.137004018249947,-58.57535241465425,5.0,147.0,69.0,win
match,2025-03-15T13:20:00,2025,1,Fremantle,Geelong,1516.4344373254048,1500.636057817021,-15.798379508383832,1522.4188140981375,1491.2818100798877,-31.137004018249947,58.57535241465425,5.0,69.0,147.0,loss
match,2025-03-15T16:15:00,2025,1,Sydney,Brisbane Lions,1575.0312534107677,1567.9577774146853,-7.073475996082279,1529.4828963113753,1527.7035728148342,-1.7793234965410032,3.3472873886156895,6.0,82.0,86.0,loss
match,2025-03-15T16:15:00,2025,1,Brisbane Lions,Sydney,1625.9107479725812,1632.9842239686636,7.073475996082279,1602.086303974709,1603.86562747125,1.7793234965410032,-3.3472873886156895,6.0,86.0,82.0,win
match,2025-03-15T19:35:00,2025,1,Collingwood,Port Adelaide,1521.416489591802,1541.5998114035206,20.183321811718617,1499.9579579988124,1543.81204715703,43.85408915821762,-82.49890470389073,7.0,136.0,45.0,win
match,2025-03-15T19:35:00,2025,1,Port Adelaide,Collingwood,1541.0515554061772,1520.8682335944586,-20.183321811718617,1522.0262588061742,1478.1721696479565,-43.85408915821762,82.49890470389073,7.0,45.0,136.0,loss
match,2025-03-15T19:35:00,2025,1,Western Bulldogs,North Melbourne,1558.6444854635438,1562.6849769742823,4.040491510738622,1569.193344304212,1552.1128825576525,-17.080461746559397,32.131995281990854,8.0,113.0,97.0,win
